Dystans (m),Wysokość (m),Szer. geograficzna,Dł. geograficzna
184.7370569417475,-404.3881225585938,31.76276833952583,35.53873741636595
188.03593295856442,-404.2984619140625,31.76276634531956,35.53877219161549
191.33480897538135,-404.2087707519531,31.76276435110385,35.53880696686353
194.63368499219825,-404.1191101074219,31.76276235687868,35.53884174211007
197.9325610090152,-404.0294494628906,31.76276036264408,35.53887651735512
201.2314370258321,-403.9397583007812,31.76275836840003,35.53891129259866
204.53031304264903,-403.85009765625,31.76275637414653,35.5389460678407
207.82918905946593,-403.7604064941406,31.76275437988358,35.53898084308125
211.12806507628287,-403.6707458496094,31.76275238561119,35.53901561832029
214.4269410930998,-403.5810852050781,31.76275039132935,35.53905039355785
217.7258171099167,-403.4913940429688,31.76274839703805,35.53908516879389
221.02469312673364,-403.4017333984375,31.76274640273732,35.53911994402844
224.32356914355054,-403.3120422363281,31.76274440842715,35.5391547192615
227.62244516036748,-403.2223815917969,31.76274241410752,35.53918949449305
230.92132117718438,-403.1327209472656,31.76274041977845,35.53922426972311
234.22019719400132,-403.0430297851562,31.76273842543993,35.53925904495166
237.51907321081822,-402.953369140625,31.76273643109196,35.53929382017872
240.81794922763515,-402.8636779785156,31.76273443673455,35.53932859540428
244.11682524445206,-402.7740173339844,31.76273244236769,35.53936337062834
247.415701261269,-402.6843566894531,31.76273044799138,35.5393981458509
250.7145772780859,-402.5946655273438,31.76272845360563,35.53943292107196
254.01345329490283,-402.5050048828125,31.76272645921042,35.53946769629152
257.31232931171974,-402.4153442382812,31.76272446480578,35.53950247150958
260.61120532853664,-402.3256530761719,31.76272247039169,35.53953724672614
263.9100813453536,-402.2359924316406,31.76272047596815,35.53957202194121
267.2089573621705,-402.1463317871094,31.76271848153517,35.53960679715478
270.5078333789874,-402.056640625,31.76271648709274,35.53964157236685
273.8067093958043,-401.9669799804688,31.76271449264085,35.53967634757741
277.1055854126213,-401.8772888183594,31.76271249817954,35.53971112278649
280.4044614294382,-401.7876281738281,31.76271050370876,35.53974589799406
283.7033374462551,-401.6979675292969,31.76270850922854,35.53978067320013
287.002213463072,-401.6082763671875,31.76270651473888,35.5398154484047
290.30108947988896,-401.5186157226562,31.76270452023976,35.53985022360778
293.59996549670586,-401.428955078125,31.76270252573121,35.53988499880936
296.89884151352277,-401.3392639160156,31.7627005312132,35.53991977400943
300.1977175303397,-401.2496032714844,31.76269853668575,35.53995454920801
303.49659354715664,-401.1599426269531,31.76269654214886,35.53998932440508
306.79546956397354,-401.0702514648438,31.76269454760251,35.54002409960066
310.09434558079045,-400.9805908203125,31.76269255304672,35.54005887479475
313.39322159760735,-400.9195251464844,31.76269055848148,35.54009364998732
316.6920976144243,-400.9429321289062,31.7626885639068,35.54012842517841
319.9909736312412,-400.9666442871094,31.76268656932267,35.54016320036799
323.2898496480581,-400.9906311035156,31.76268457472909,35.54019797555608
